pae_interaction_scores,total_score,complex_normalized,dG_cross,dG_cross/dSASAx100,dG_separated,dG_separated/dSASAx100,dSASA_hphobic,dSASA_int,dSASA_polar,delta_unsatHbonds,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_E_fraction,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,hbonds_int,lk_ball_wtd,nres_all,nres_int,omega,p_aa_pp,packstat,per_residue_energy_int,pro_close,rama_prepro,ref,sc_value,side1_normalized,side1_score,side2_normalized,side2_score,yhh_planarity,description
8.0,3528.489,56.911,3483.932,333.575,3483.932,333.575,2001.872,2893.972,987.018,24.0,0.0,-281.509,401.392,-65.561,1.608,50.33,3546.581,460.777,0.289,-1.591,0.0,0.0,-22.366,1.0,-9.321,66.0,51.0,11.246,-9.801,0.514,-0.89,0.227,-6.076,25.387,0.666,-0.877,-26.314,-0.908,-19.059,0.0,insulin_ep3__930_dldesign_0_cycle0_1
10.0,506.917,6.85,163.274,6.12,163.274,6.12,1906.954,2753.845,976.632,18.0,0.0,-284.048,364.177,-68.826,1.581,44.317,565.515,460.364,0.278,-1.972,0.0,0.0,-24.652,0.0,-9.149,68.0,43.0,13.351,-8.718,0.655,-0.863,0.0,-2.07,20.533,0.733,-0.921,-23.949,-0.775,-13.179,0.0,insulin_ep3__206_dldesign_0_cycle0_1
4.0,346.703,5.253,60.312,4.756,60.312,4.756,1898.48,2667.899,971.591,17.0,0.0,-289.052,351.282,-69.304,1.441,43.685,374.451,457.274,0.226,-2.11,0.0,0.0,-25.335,1.0,-9.652,64.0,55.0,8.826,-5.505,0.605,-0.274,0.0,-1.239,28.049,0.718,0.093,3.146,-0.866,-18.194,0.0,insulin_ep3__769_dldesign_0_cycle0
10.0,343.774,4.297,51.603,3.643,51.603,3.643,1821.155,2586.77,804.962,16.0,0.0,-290.572,331.202,-71.718,1.343,43.351,363.561,451.259,0.215,-2.466,0.0,0.0,-25.555,2.0,-11.897,83.0,48.0,14.944,-5.155,0.536,-0.021,0.522,1.063,64.614,0.537,0.388,11.644,-0.702,-12.636,0.0,insulin_ep3__384_dldesign_0_cycle0
6.0,339.919,4.095,-8.66,-0.615,-8.66,-0.615,1691.267,2498.118,800.435,16.0,0.0,-292.916,328.489,-71.773,1.324,43.175,359.144,444.993,0.208,-2.572,0.0,0.0,-25.714,1.0,-13.238,99.0,53.0,20.001,-9.097,0.635,-1.108,0.266,-4.211,24.17,0.815,-0.937,-30.928,-1.389,-27.778,0.0,insulin_ep3__279_dldesign_0_cycle0
8.0,262.084,3.735,-12.747,-0.976,-12.747,-0.976,1670.338,2461.156,788.133,15.0,0.0,-293.296,327.884,-72.556,1.308,42.317,314.33,433.742,0.206,-2.632,0.0,0.0,-25.779,1.0,-12.533,84.0,58.0,13.357,-9.847,0.583,-1.404,0.306,2.054,51.866,0.71,-1.538,-58.453,-1.149,-22.986,0.0,insulin_ep3__583_dldesign_0_cycle0
4.0,227.237,2.876,-16.803,-1.096,-16.803,-1.096,1662.274,2399.967,777.621,15.0,0.0,-294.094,326.979,-73.262,1.27,41.931,234.305,433.364,0.205,-3.095,0.0,0.0,-26.102,2.0,-15.347,87.0,47.0,15.094,-11.646,0.459,-0.715,0.018,-4.574,47.638,0.493,-0.451,-12.628,-1.103,-20.964,0.0,insulin_ep3__482_dldesign_0_cycle0
9.0,188.983,2.669,-16.945,-1.366,-16.945,-1.366,1573.401,2360.461,765.615,15.0,0.0,-295.605,322.67,-74.397,1.233,41.542,145.636,427.422,0.203,-3.15,0.0,0.0,-26.217,2.0,-10.67,90.0,53.0,18.159,-13.845,0.625,-1.302,0.087,-9.161,86.988,0.681,-1.673,-58.549,-0.58,-10.443,0.0,insulin_ep3__443_dldesign_0_cycle0_1
5.0,186.853,2.553,-17.818,-1.712,-17.818,-1.712,1535.378,2286.983,763.016,14.0,0.0,-298.058,322.491,-75.285,1.219,41.516,136.81,425.507,0.194,-3.151,0.0,0.0,-26.465,4.0,-9.715,65.0,58.0,12.24,-7.004,0.642,-0.705,0.0,2.038,29.679,0.656,-0.803,-29.695,-0.532,-11.169,0.0,insulin_ep3__192_dldesign_0_cycle0
10.0,160.869,2.333,-21.209,-1.804,-21.209,-1.804,1523.967,2261.905,751.973,14.0,0.0,-298.258,316.509,-75.357,1.185,40.403,121.158,424.853,0.191,-3.18,0.0,0.0,-26.555,3.0,-7.081,87.0,49.0,16.309,-10.632,0.59,-0.286,0.039,4.038,8.132,0.691,-0.179,-5.194,-0.441,-8.814,0.0,insulin_ep3__859_dldesign_0_cycle0
4.0,151.646,1.989,-26.784,-1.944,-26.784,-1.944,1504.121,2198.515,747.808,14.0,0.0,-299.044,316.312,-75.476,1.179,40.155,108.094,421.576,0.187,-3.23,0.0,0.0,-26.683,4.0,-8.683,63.0,53.0,6.645,-6.547,0.61,-0.599,0.0,-2.352,12.988,0.755,-0.192,-6.328,-1.27,-25.397,0.0,insulin_ep3__958_dldesign_0_cycle0
9.0,144.999,1.812,-26.977,-2.032,-26.977,-2.032,1489.565,2196.943,737.693,14.0,0.0,-299.393,314.511,-75.57,1.163,40.133,100.81,417.258,0.182,-3.231,0.0,0.0,-26.689,0.0,-12.02,61.0,48.0,10.665,-6.832,0.575,-0.655,0.015,-8.636,7.104,0.728,-0.722,-19.492,-0.568,-11.924,0.0,insulin_ep3__472_dldesign_0_cycle0_1
